epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,439.522,0.6958,0.47125,0.97757,0.94294,0.91985,0.95185,0.71368,0.80168,0.47628,0.95538,0.00113898,0.00113898,0.00113898
43,449.859,0.69775,0.47039,0.9674,0.96769,0.92567,0.96109,0.73309,0.82603,0.44429,0.97043,0.00113191,0.00113191,0.00113191
44,460.288,0.69367,0.46767,0.97393,0.94161,0.92905,0.95495,0.73766,0.77388,0.43764,0.95283,0.00112484,0.00112484,0.00112484
45,470.781,0.66583,0.45514,0.96675,0.96586,0.9246,0.9543,0.73507,0.75914,0.4263,0.93206,0.00111776,0.00111776,0.00111776
46,480.933,0.65809,0.45031,0.96137,0.96802,0.91921,0.96331,0.7329,0.7983,0.43301,0.95072,0.00111069,0.00111069,0.00111069
47,491.229,0.67776,0.47247,0.96866,0.94468,0.92567,0.95765,0.74795,0.75631,0.46201,0.93222,0.00110362,0.00110362,0.00110362
48,501.533,0.70433,0.47498,0.9724,0.96761,0.92711,0.96076,0.7415,0.77527,0.43709,0.95196,0.00109654,0.00109654,0.00109654
49,511.756,0.68347,0.45782,0.96901,0.96478,0.93391,0.9631,0.75606,0.73793,0.4245,0.93304,0.00108947,0.00108947,0.00108947
50,522.578,0.65967,0.45105,0.95719,0.96962,0.92346,0.96812,0.75119,0.74561,0.4114,0.93265,0.0010824,0.0010824,0.0010824
51,532.962,0.6291,0.4348,0.95291,0.95701,0.93282,0.96156,0.74212,0.74112,0.43454,0.93224,0.00107532,0.00107532,0.00107532
52,543.622,0.62724,0.43902,0.95951,0.9645,0.93976,0.97246,0.76215,0.73046,0.40925,0.9315,0.00106825,0.00106825,0.00106825
53,553.992,0.61847,0.43552,0.94432,0.95285,0.92271,0.96465,0.76522,0.72243,0.41735,0.92637,0.00106118,0.00106118,0.00106118
54,564.311,0.62608,0.43553,0.94302,0.96799,0.93334,0.96794,0.75508,0.70812,0.38861,0.93387,0.0010541,0.0010541,0.0010541
55,574.561,0.6167,0.43094,0.94253,0.96861,0.94263,0.96559,0.76626,0.69255,0.3917,0.91557,0.00104703,0.00104703,0.00104703
56,585.03,0.63144,0.43057,0.93671,0.94264,0.92851,0.96486,0.75559,0.72234,0.41251,0.91689,0.00103995,0.00103995,0.00103995
57,595.885,0.60984,0.42178,0.94719,0.97744,0.91097,0.96408,0.76928,0.69804,0.39197,0.91645,0.00103288,0.00103288,0.00103288
58,606.199,0.62016,0.42345,0.94259,0.95834,0.93257,0.96958,0.76428,0.72789,0.39061,0.92471,0.00102581,0.00102581,0.00102581
59,616.451,0.60559,0.4173,0.93345,0.96858,0.91595,0.96615,0.77626,0.68329,0.39039,0.91439,0.00101873,0.00101873,0.00101873
60,626.81,0.62808,0.43622,0.94241,0.97067,0.93651,0.96602,0.74182,0.7553,0.40046,0.92042,0.00101166,0.00101166,0.00101166
61,636.844,0.60775,0.41928,0.93988,0.96966,0.93176,0.97009,0.77027,0.70938,0.39128,0.92153,0.00100459,0.00100459,0.00100459
62,646.913,0.60179,0.42272,0.93972,0.97105,0.92911,0.96875,0.77073,0.70653,0.38348,0.91878,0.000997513,0.000997513,0.000997513
63,657.186,0.59849,0.41366,0.93003,0.96792,0.93484,0.96643,0.77336,0.67984,0.38118,0.91758,0.00099044,0.00099044,0.00099044
64,667.694,0.5789,0.3985,0.92175,0.96098,0.93563,0.97033,0.76886,0.69075,0.38152,0.91406,0.000983366,0.000983366,0.000983366
65,678.424,0.60081,0.41108,0.92594,0.97145,0.9427,0.96991,0.77874,0.68943,0.37791,0.91372,0.000976293,0.000976293,0.000976293
66,689.388,0.57053,0.39971,0.91733,0.98086,0.94564,0.97432,0.7832,0.67408,0.3734,0.91013,0.000969219,0.000969219,0.000969219
67,700.316,0.5563,0.39535,0.91956,0.9594,0.92441,0.96898,0.75964,0.716,0.38743,0.91507,0.000962146,0.000962146,0.000962146
68,711.06,0.59411,0.40575,0.92748,0.97938,0.94336,0.97516,0.7719,0.70259,0.37025,0.91402,0.000955072,0.000955072,0.000955072
69,721.818,0.58527,0.40417,0.92616,0.97284,0.93291,0.97153,0.77366,0.67584,0.36874,0.91301,0.000947999,0.000947999,0.000947999
70,732.448,0.58924,0.40387,0.92135,0.95801,0.93674,0.97218,0.78455,0.67222,0.38105,0.90751,0.000940925,0.000940925,0.000940925
71,743.196,0.58894,0.39947,0.9159,0.97491,0.94213,0.97967,0.77111,0.6907,0.36103,0.91037,0.000933851,0.000933851,0.000933851
72,753.683,0.56361,0.39332,0.92079,0.96163,0.92462,0.96962,0.7806,0.66014,0.37169,0.9017,0.000926778,0.000926778,0.000926778
73,764.462,0.55048,0.38381,0.91257,0.96359,0.92446,0.9753,0.78503,0.65866,0.36145,0.89876,0.000919704,0.000919704,0.000919704
74,775.534,0.56983,0.39238,0.91572,0.97138,0.9266,0.97594,0.79096,0.64885,0.36925,0.90275,0.000912631,0.000912631,0.000912631
75,786.298,0.53375,0.38278,0.91613,0.9729,0.94091,0.97618,0.7861,0.65739,0.36301,0.89134,0.000905557,0.000905557,0.000905557
76,796.808,0.52427,0.3709,0.89933,0.96929,0.94211,0.97743,0.78834,0.67117,0.36553,0.90405,0.000898484,0.000898484,0.000898484
77,807.774,0.55728,0.38206,0.91276,0.97522,0.9382,0.97664,0.78766,0.64869,0.3552,0.9031,0.00089141,0.00089141,0.00089141
78,817.802,0.55586,0.39335,0.92089,0.97948,0.94248,0.97976,0.79696,0.64304,0.34352,0.90265,0.000884337,0.000884337,0.000884337
79,827.914,0.54791,0.38004,0.90634,0.9757,0.93709,0.97595,0.79703,0.64171,0.35981,0.90477,0.000877263,0.000877263,0.000877263
80,838.161,0.53583,0.36444,0.89922,0.97,0.94705,0.97739,0.79621,0.64372,0.34711,0.88723,0.00087019,0.00087019,0.00087019
81,848.186,0.56003,0.38021,0.91406,0.98132,0.93502,0.97756,0.79493,0.65889,0.34761,0.8961,0.000863116,0.000863116,0.000863116
82,858.253,0.54169,0.38469,0.90597,0.97808,0.93821,0.97813,0.79754,0.64921,0.34257,0.90049,0.000856042,0.000856042,0.000856042
83,868.514,0.54113,0.38588,0.90594,0.97521,0.93075,0.97734,0.80264,0.64069,0.34972,0.90778,0.000848969,0.000848969,0.000848969
84,878.551,0.53005,0.36892,0.90161,0.96591,0.93254,0.9737,0.78908,0.65609,0.35935,0.89004,0.000841895,0.000841895,0.000841895
85,888.586,0.52221,0.36698,0.89795,0.98198,0.9354,0.978,0.80118,0.63722,0.35584,0.88776,0.000834822,0.000834822,0.000834822
86,900.405,0.53502,0.36764,0.89744,0.98151,0.93199,0.97693,0.80678,0.63068,0.34509,0.89301,0.000827748,0.000827748,0.000827748
87,913.686,0.52621,0.36743,0.90574,0.97264,0.93576,0.97764,0.80209,0.64723,0.34864,0.89506,0.000820675,0.000820675,0.000820675
88,926.98,0.51242,0.35885,0.89798,0.9668,0.93212,0.97922,0.80097,0.64489,0.34112,0.90009,0.000813601,0.000813601,0.000813601
89,940.274,0.5155,0.36331,0.89134,0.96647,0.94963,0.97704,0.78786,0.65804,0.34351,0.90462,0.000806528,0.000806528,0.000806528
90,952.835,0.49828,0.35298,0.88641,0.97615,0.93901,0.98109,0.80417,0.62785,0.3364,0.9029,0.000799454,0.000799454,0.000799454
91,962.878,0.50027,0.35442,0.88695,0.9846,0.94433,0.98058,0.79303,0.63451,0.33059,0.90655,0.00079238,0.00079238,0.00079238
