epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3451.98,0.5585,0.36146,0.90547,0.97696,0.93975,0.98068,0.81718,0.679,0.3222,0.87273,0.007921,0.007921,0.007921
44,3531.37,0.55388,0.35679,0.90511,0.96417,0.94478,0.98014,0.81559,0.68012,0.31853,0.86562,0.0078715,0.0078715,0.0078715
45,3611.03,0.56198,0.35826,0.90592,0.96472,0.94415,0.98016,0.8164,0.68335,0.31941,0.8718,0.007822,0.007822,0.007822
46,3690.71,0.54617,0.35201,0.8984,0.97678,0.94551,0.97972,0.81778,0.67679,0.31412,0.86802,0.0077725,0.0077725,0.0077725
47,3769.56,0.54811,0.35475,0.9008,0.98041,0.93841,0.9806,0.81819,0.67288,0.31899,0.86392,0.007723,0.007723,0.007723
48,3848.85,0.54975,0.35384,0.9014,0.97164,0.93776,0.98165,0.82342,0.66605,0.31091,0.86119,0.0076735,0.0076735,0.0076735
49,3928.35,0.53836,0.348,0.89797,0.9727,0.94683,0.98094,0.81675,0.6746,0.31224,0.86541,0.007624,0.007624,0.007624
50,4008.1,0.53423,0.34456,0.89597,0.97365,0.94057,0.98051,0.81504,0.67351,0.31012,0.87084,0.0075745,0.0075745,0.0075745
51,4087.77,0.53385,0.34498,0.89685,0.97285,0.94565,0.98057,0.822,0.66438,0.30412,0.86473,0.007525,0.007525,0.007525
52,4166.93,0.52968,0.34235,0.89426,0.9697,0.95007,0.98106,0.82338,0.65949,0.30488,0.8631,0.0074755,0.0074755,0.0074755
53,4246.18,0.52666,0.34063,0.89256,0.97741,0.93884,0.98124,0.82537,0.66083,0.30441,0.86279,0.007426,0.007426,0.007426
54,4326.1,0.5244,0.34049,0.89274,0.96814,0.95119,0.98206,0.82698,0.65564,0.30301,0.86239,0.0073765,0.0073765,0.0073765
55,4405.82,0.52584,0.33764,0.89413,0.97747,0.94485,0.98194,0.82767,0.65763,0.30408,0.86117,0.007327,0.007327,0.007327
56,4484.82,0.52217,0.33641,0.89067,0.96964,0.94935,0.98061,0.82747,0.65531,0.30347,0.85848,0.0072775,0.0072775,0.0072775
57,4563.09,0.52102,0.33743,0.88933,0.96298,0.95387,0.98169,0.82467,0.65821,0.30044,0.85912,0.007228,0.007228,0.007228
58,4641.63,0.51791,0.3341,0.88924,0.96915,0.94916,0.98161,0.82998,0.64785,0.30077,0.85766,0.0071785,0.0071785,0.0071785
59,4719.86,0.51115,0.33145,0.88861,0.98081,0.93959,0.98233,0.8261,0.64707,0.29515,0.85679,0.007129,0.007129,0.007129
60,4798.35,0.51039,0.32769,0.88725,0.96088,0.95118,0.98188,0.82617,0.64508,0.29637,0.85995,0.0070795,0.0070795,0.0070795
61,4876.67,0.5088,0.32812,0.88564,0.9746,0.95002,0.98342,0.83082,0.64177,0.291,0.85724,0.00703,0.00703,0.00703
62,4955.32,0.51094,0.32956,0.88708,0.97032,0.9443,0.98179,0.83166,0.6397,0.29363,0.85513,0.0069805,0.0069805,0.0069805
63,5033.92,0.50389,0.32701,0.8882,0.97398,0.94255,0.98077,0.82864,0.64189,0.29342,0.85698,0.006931,0.006931,0.006931
64,5112.69,0.50291,0.32432,0.88432,0.96266,0.95381,0.98227,0.83043,0.64135,0.28987,0.85622,0.0068815,0.0068815,0.0068815
65,5191,0.49921,0.32155,0.88026,0.96819,0.955,0.98258,0.83061,0.64028,0.28993,0.85837,0.006832,0.006832,0.006832
66,5269.63,0.49688,0.31995,0.88153,0.96774,0.95504,0.98256,0.83147,0.63753,0.28856,0.8562,0.0067825,0.0067825,0.0067825
67,5348.27,0.492,0.317,0.87828,0.9732,0.9551,0.98225,0.8315,0.63855,0.28784,0.85648,0.006733,0.006733,0.006733
68,5426.5,0.4931,0.3175,0.87859,0.97596,0.94945,0.98276,0.83049,0.6388,0.28631,0.85528,0.0066835,0.0066835,0.0066835
69,5505.07,0.49294,0.31664,0.88209,0.97247,0.95188,0.98299,0.83314,0.63615,0.28439,0.85453,0.006634,0.006634,0.006634
70,5583.23,0.48599,0.31636,0.87628,0.96844,0.95155,0.98294,0.8329,0.63888,0.28557,0.85363,0.0065845,0.0065845,0.0065845
71,5661.59,0.4874,0.31549,0.87944,0.96524,0.95409,0.98328,0.83538,0.63098,0.28509,0.85369,0.006535,0.006535,0.006535
72,5739.9,0.48399,0.31371,0.87674,0.97052,0.95117,0.98285,0.833,0.63697,0.28896,0.85456,0.0064855,0.0064855,0.0064855
73,5818.79,0.48595,0.31421,0.87948,0.96959,0.95205,0.98277,0.83432,0.63592,0.28623,0.85527,0.006436,0.006436,0.006436
