epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3426.76,0.55576,0.35636,0.90615,0.96832,0.95075,0.97909,0.81127,0.68971,0.32008,0.86898,0.007921,0.007921,0.007921
44,3505.86,0.55156,0.35379,0.90618,0.97455,0.94252,0.97935,0.81905,0.68155,0.32166,0.86369,0.0078715,0.0078715,0.0078715
45,3585.69,0.55795,0.35755,0.90673,0.97601,0.94356,0.98043,0.81695,0.67602,0.31464,0.86458,0.007822,0.007822,0.007822
46,3664.75,0.54401,0.34863,0.89877,0.977,0.94663,0.98011,0.82074,0.67129,0.31455,0.86572,0.0077725,0.0077725,0.0077725
47,3744.2,0.5454,0.35291,0.90098,0.97721,0.94301,0.97924,0.81682,0.67974,0.31962,0.86429,0.007723,0.007723,0.007723
48,3823.13,0.54553,0.3506,0.90205,0.97798,0.94425,0.97927,0.8199,0.67419,0.30867,0.86541,0.0076735,0.0076735,0.0076735
49,3902.46,0.53632,0.34575,0.89863,0.97901,0.94158,0.97914,0.82093,0.67384,0.31063,0.86397,0.007624,0.007624,0.007624
50,3982.29,0.53197,0.34114,0.89632,0.98097,0.94611,0.98095,0.8242,0.6604,0.30614,0.8594,0.0075745,0.0075745,0.0075745
51,4061.56,0.53155,0.34272,0.89792,0.97674,0.95359,0.9808,0.82161,0.66601,0.30473,0.86386,0.007525,0.007525,0.007525
52,4140.63,0.53059,0.34147,0.89717,0.97847,0.94563,0.98039,0.82479,0.66235,0.30015,0.86306,0.0074755,0.0074755,0.0074755
53,4219.71,0.5245,0.34048,0.89254,0.97885,0.94613,0.98103,0.8217,0.66217,0.30329,0.86121,0.007426,0.007426,0.007426
54,4299.21,0.53118,0.34236,0.89701,0.97895,0.94724,0.98016,0.82283,0.65956,0.30134,0.86064,0.0073765,0.0073765,0.0073765
55,4378.13,0.52315,0.33829,0.89464,0.97836,0.94804,0.98123,0.82746,0.6585,0.29697,0.8612,0.007327,0.007327,0.007327
56,4457.36,0.52098,0.33675,0.89169,0.97688,0.95059,0.98066,0.82398,0.65845,0.29779,0.8625,0.0072775,0.0072775,0.0072775
57,4535.81,0.51453,0.33084,0.8882,0.97806,0.94847,0.9819,0.82711,0.65451,0.29626,0.85777,0.007228,0.007228,0.007228
58,4615.05,0.51554,0.33081,0.88852,0.97604,0.94481,0.98077,0.8274,0.65163,0.29401,0.85964,0.0071785,0.0071785,0.0071785
59,4694.57,0.51091,0.33173,0.88932,0.97569,0.94772,0.98179,0.82705,0.65147,0.29506,0.85608,0.007129,0.007129,0.007129
60,4773.66,0.50189,0.32378,0.88598,0.97575,0.9536,0.9818,0.82834,0.64986,0.29304,0.85907,0.0070795,0.0070795,0.0070795
61,4852.67,0.50524,0.32949,0.8866,0.98335,0.93866,0.9796,0.82806,0.64899,0.29736,0.85687,0.00703,0.00703,0.00703
62,4931.52,0.50662,0.32752,0.88707,0.97195,0.94809,0.98111,0.83272,0.64126,0.2921,0.85251,0.0069805,0.0069805,0.0069805
63,5011.22,0.5011,0.32503,0.88856,0.97859,0.95142,0.98068,0.82962,0.64217,0.29397,0.85424,0.006931,0.006931,0.006931
