epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4051.67,0.46122,0.30085,0.87037,0.98235,0.95193,0.98257,0.83891,0.61983,0.28054,0.84771,0.007921,0.007921,0.007921
44,4146.26,0.45706,0.29563,0.87001,0.98064,0.94899,0.98167,0.84123,0.61405,0.27272,0.8501,0.0078715,0.0078715,0.0078715
45,4240.81,0.46311,0.29856,0.87034,0.97968,0.95115,0.98241,0.84268,0.61177,0.27213,0.84666,0.007822,0.007822,0.007822
46,4335.11,0.44808,0.28966,0.8631,0.98423,0.95218,0.98247,0.84357,0.60936,0.27102,0.84727,0.0077725,0.0077725,0.0077725
47,4429.3,0.45294,0.29284,0.86712,0.98348,0.94908,0.98088,0.84159,0.60217,0.26885,0.84614,0.007723,0.007723,0.007723
48,4523.34,0.45376,0.29335,0.86788,0.97896,0.95277,0.9817,0.84457,0.60319,0.27109,0.84737,0.0076735,0.0076735,0.0076735
49,4617.56,0.44398,0.28954,0.86466,0.98195,0.95329,0.98221,0.84087,0.61349,0.272,0.84781,0.007624,0.007624,0.007624
50,4711.52,0.44392,0.28887,0.86286,0.98329,0.94457,0.98354,0.84428,0.60033,0.26942,0.84374,0.0075745,0.0075745,0.0075745
51,4805.32,0.43897,0.28511,0.86366,0.9775,0.95234,0.9825,0.84551,0.59667,0.26856,0.8429,0.007525,0.007525,0.007525
52,4899.52,0.43713,0.28414,0.86134,0.98564,0.95077,0.98178,0.84698,0.59611,0.26399,0.84385,0.0074755,0.0074755,0.0074755
53,4993.24,0.43691,0.28297,0.861,0.97987,0.95619,0.98341,0.84913,0.58864,0.2619,0.84371,0.007426,0.007426,0.007426
54,5087.25,0.43344,0.2802,0.86016,0.97979,0.95458,0.9844,0.84617,0.59594,0.2609,0.84265,0.0073765,0.0073765,0.0073765
55,5181.37,0.43205,0.2784,0.86115,0.98422,0.95005,0.98371,0.85306,0.58304,0.2601,0.84422,0.007327,0.007327,0.007327
56,5276.23,0.42857,0.27919,0.85756,0.98165,0.95289,0.984,0.84903,0.59159,0.25937,0.84277,0.0072775,0.0072775,0.0072775
57,5370.14,0.42616,0.27493,0.85711,0.98034,0.9489,0.98286,0.85038,0.58367,0.25893,0.83928,0.007228,0.007228,0.007228
58,5463.8,0.42629,0.2774,0.85702,0.97494,0.95568,0.98217,0.84934,0.5864,0.25718,0.84417,0.0071785,0.0071785,0.0071785
59,5557.94,0.41934,0.275,0.85664,0.97548,0.95589,0.98322,0.85,0.58458,0.25553,0.84082,0.007129,0.007129,0.007129
60,5652.3,0.41558,0.27001,0.85494,0.9786,0.95538,0.98407,0.84981,0.58624,0.25491,0.83912,0.0070795,0.0070795,0.0070795
61,5746.4,0.41662,0.27192,0.85404,0.98128,0.95037,0.9831,0.84831,0.58297,0.25273,0.84074,0.00703,0.00703,0.00703
62,5840.39,0.41599,0.27087,0.85442,0.98114,0.94851,0.98345,0.85179,0.57538,0.25419,0.8406,0.0069805,0.0069805,0.0069805
63,5934.14,0.41409,0.26904,0.85797,0.98353,0.95192,0.98409,0.85084,0.57834,0.25209,0.84078,0.006931,0.006931,0.006931
64,6028.55,0.41622,0.26886,0.85497,0.98221,0.95519,0.98538,0.85313,0.58205,0.25355,0.84061,0.0068815,0.0068815,0.0068815
65,6122.49,0.41397,0.26746,0.85163,0.98262,0.95496,0.98541,0.85294,0.58013,0.25107,0.84107,0.006832,0.006832,0.006832
66,6216.06,0.4052,0.26429,0.8517,0.9801,0.9545,0.98536,0.854,0.57546,0.24841,0.83972,0.0067825,0.0067825,0.0067825
67,6309.96,0.40406,0.2625,0.84763,0.9809,0.95201,0.98566,0.85544,0.56897,0.24992,0.83902,0.006733,0.006733,0.006733
68,6403.94,0.40336,0.26298,0.84872,0.98423,0.9493,0.98509,0.85616,0.57396,0.24871,0.83881,0.0066835,0.0066835,0.0066835
